"Nombre Artículo","Existencia Previa","Compras","Existencia","Existencia (Costo)","Usado","Vendido","Diferencia","% Diferencia","Ingresos","Usado (Costo)","Diferencia (Costo)","Desperdicio (Costo)","Porcentaje de Costo","Porcentaje de Costo Ideal"
"Sexy Fish Malbec 2022","18 BTL","","16.2 BTL","$36,386.20","1.8 BTL","1.8 BTL","","-0.6%","$74,301.09","$3,971.73","-$25.62","","5.3%","5.3%"
"Trumpeter Chardonnay","6 BTL","","6 BTL","$9,659.88","","","","","","","","","",""
"Trumpeter Malbec","5 BTL","","4 BTL","$6,578.47","1 BTL","1 BTL","","","$23,000.00","$1,644.62","","","7.2%","7.2%"
"Total Wine:","87.8","12","91.8","$167,064.17","8","8","","-0.6%","$193,301.09","$15,202.24","-$96.32","","7.9%","7.8%"
"Baron B Extra Brut","6 BTL","","6 BTL","$10,065.34","","","","","","","","","",""
"Chandon Delice","7 BTL","","7 BTL","-$4,710.84","","","","","","","","","",""
"Chandon Extra Brut","8 BTL","","8 BTL","$5,849.37","","","","","","","","","",""
"Cinzano Pro Spritz Espumante","28.2 BTL","","20 BTL","$87,960.35","8.2 BTL","8.7 BTL","+0.5 BTL","+6.6%","$201,711.91","$36,003.66","+$2,391.46","","17.8%","19.0%"
"Total Champagne:","49.2","","41","$99,164.22","8.2","8.7","+0.5","+6.6%","$201,711.91","$36,003.66","+$2,391.46","","17.8%","19.0%"
"Corona Cero 330","35 BTL","","29 BTL","$25,534.50","6 BTL","4 BTL","-2 BTL","-33.3%","$20,000.00","$5,283.00","-$1,761.00","","26.4%","17.6%"
"Corona Extra 330","330 BTL","240 BTL","358 BTL","$269,668.72","212 BTL","212 BTL","","","$744,999.99","$159,692.10","","","21.4%","21.4%"
"Dr Lemon vodka 473ml","21 BTL","","21 BTL","$1,029.00","","1 BTL","+1 BTL","","$5,000.00","","+$49.00","","","1.0%"
"Total Porron:","386","240","408","$296,232.22","218","217","-1","-0.5%","$769,999.99","$164,975.10","-$1,712.00","","21.4%","21.2%"
"Amber Patagonia Barril","161.99 L","120 L","170.34 L","$343,888.35","111.64 L","78.5 L","-33.14 L","-29.7%","$905,999.97","$225,382.24","-$66,907.31","","24.9%","17.5%"
"Bohemian Patagonia Barril","81.45 L","160 L","142.2 L","$279,182.63","99.25 L","99.5 L","+0.25 L","+0.3%","$1,127,999.99","$194,854.39","+$492.75","","17.3%","17.3%"
"IPA 24.7 Patagonia Barril","70.17 L","180 L","155.11 L","$305,589.80","95.06 L","90.5 L","-4.56 L","-4.8%","$1,037,999.98","$187,282.51","-$8,982.54","","18.0%","17.2%"
"Total Kegs:","313.6 L","460 L","467.65 L","$928,660.77","305.95 L","268.5 L","-37.45 L","-12.2%","$3,071,999.94","$607,519.14","-$75,397.09","","19.8%","17.3%"
"Speed","12 EACH","","12 EACH","$4,603.79","","","","","","","","","",""
"Total Energizantes:","12","","12","$4,603.79","","","","","","","","","",""
